key_1,AC No,PS No,Point,Longitude,Latitide,key
47_22 ,47,22,22 - Gopal Sardar Para High school,91.84130478,23.92828085,47_22 
47_23 ,47,23,23 - Aamabasa Forest Range Office,91.84351214,23.9197178,47_23 
47_24 ,47,24,24 - Dolubari Gate Class XII School,91.83715823,23.91852602,47_24 
47_25 ,47,25,25 - Dalubari Gate A.W. Centre,91.8380762,23.91685541,47_25 
47_26 ,47,26,26 - Dhanchara S.B. School,91.82033627,23.91586833,47_26 
47_27 ,47,27,27 - Kamalacherra High School,91.8291432,23.9124602,47_27 
47_28 ,47,28,28 - Jiolachara Forest Range Office,91.79604239,23.88993676,47_28 
47_3 ,47,3,3 - Basudeb Para Nimna Buniyadi Vidyalaya,91.82797953,23.95852244,47_3 
47_30 ,47,30,30 - Nailaha Bari Community Hall,91.82636793,23.89799219,47_30 
47_31 ,47,31,31 - Nailahabari Uccha Buniyadi Vidyalaya,91.82962569,23.89948886,47_31 
47_32 ,47,32,32 - Hatimara Chara Uccha Buniyadi Vidyalaya,91.86936232,23.89639726,47_32 
47_33 ,47,33,33 - Biswa Ram Para Nimna  Buniyadi Vidyalaya,91.84889621,23.84922945,47_33 
47_34 ,47,34,34 - Tafmachara High School,91.86977466,23.8727985,47_34 
47_35 ,47,35,35 - Harin Chara S.B. School,91.79604329,23.89948884,47_35 
47_36 ,47,36,36 - North Mechuriya Uccha Buniyadi Vidyalaya,91.84150002,24.0416994,47_36 
47_37 ,47,37,37 - Padmakumar Debbarma Para Anganwadi Kendra,91.85988692,24.02328163,47_37 
47_38 ,47,38,38 - Simbukchak Nimna Buniyadi Bidyalay,91.87105521,24.03623036,47_38 
47_39 ,47,39,39 - Salema Colony 10 Card Nimna Buniyadi Vidyalaya,91.86179016,23.99543645,47_39 
47_4 ,47,4,4 - Uttar Nalichara-Uccha Vidyalaya (Pashchimangsha),91.82554623,23.96664842,47_4 
47_40 ,47,40,40 - Dabbari J.B. School,91.8417659,23.94845299,47_40 
47_41 ,47,41,41 - Salema Colony Uccha Vidyalaya,91.84772916,24.00002496,47_41 
47_42 ,47,42,42 - Dugangkami Para Nimna Buniyadi Vidyalaya,91.87006683,23.98081851,47_42 
47_43 ,47,43,43 - North Kulubari S.B. School,91.86048661,23.98668055,47_43 
47_45 ,47,45,45 - Mechuriya Colony No-2 Uccha Buniyadi Vidyalaya,91.8441154,23.99054893,47_45 
47_46 ,47,46,46 - Balaram High School,91.84246459,23.97155355,47_46 
47_47 ,47,47,47 - Jarmanjoy Para Uccha Buniyadi Vidyalaya,91.85210934,23.97047312,47_47 
47_48 ,47,48,48 - North Lalchari High School,91.8417659,23.94845299,47_48 
47_49 ,47,49,49 - Ambassa Bari Uccha Buniyadi Vidyalaya(S/W),91.8417659,23.94845299,47_49 
47_5 ,47,5,5 - Kulai Dwadash Shreni Vidyalaya (Dakshinangsha),91.82766329,23.94838772,47_5 
47_50 ,47,50,50 - Ambassabari S.B. School ( W/W),91.8417659,23.94845299,47_50 
47_51 ,47,51,51 - Bagmara Chaumuhani S.B. School,91.85584694,23.94652111,47_51 
47_52 ,47,52,52 - Balaram Bari Uccha Buniyadi Vidyalaya,91.88675776,23.94369536,47_52 
47_53 ,47,53,53 - Chandramoni Royaja Para Anganwadi Centre,91.90591443,23.9564666,47_53 
47_54 ,47,54,54 - Kulai Colony Uccha Vidyalaya (Uttarangsha),91.85978379,23.92341441,47_54 
47_55 ,47,55,55 - Chandrai Chara S.B. School,91.85692489,23.92771554,47_55 
47_56 ,47,56,56 - Kulai Colony High School (South Wing),91.85989536,23.92308441,47_56 
47_57 ,47,57,57 - Kanchanapur Colony Anganwadi Kendra,91.85945073,23.91862228,47_57 
